date	sha	gbps	tag
2025-02-26	648821c6b4	0.543962	v3.1.3
2025-03-01	b28df404c2	0.537463	
2025-03-01	0171497b55	0.536388	
2025-03-01	ccb7b52de1	0.540390	
2025-03-01	5f1c29bf1c	0.536031	
2025-03-01	a86b996a2f	0.540192	
2025-03-01	30a2aaf2b7	0.537640	
2025-03-01	8127fb5181	0.540096	
2025-03-01	2c110e5c77	0.540532	
2025-03-03	74fecf1fbb	0.536266	
2025-03-06	c22e188fb7	0.531785	
2025-03-08	aac12b2beb	0.531456	
2025-03-08	2e09b54643	0.535508	
2025-03-08	582c376c95	0.531828	
2025-03-08	cc81a77c5d	0.535295	
2025-03-08	e512e595dd	0.538524	
2025-03-09	152c1987bb	0.532679	
2025-03-09	53117844d2	0.528531	
2025-03-09	6440fcabb2	0.528651	
2025-03-09	9101fba1e6	0.531463	
2025-03-09	af0770e91e	0.527101	
2025-03-10	16579b880e	0.526089	
2025-03-10	1ffab99cc6	0.535741	
2025-03-10	83b7681f11	0.528318	v3.2.0
2025-03-10	d97a2c8d70	0.535355	
2025-03-10	31edab7afa	0.532400	v3.2.1
2025-03-13	7e1594bcb5	0.532640	
2025-03-19	22a725c51b	0.525587	
2025-03-19	58042177d6	0.531501	
2025-03-19	9fd1cf64f2	0.533273	
2025-03-20	8b33aaa2f3	0.531598	
2025-03-21	8211743839	0.532345	
2025-03-24	6eeec3c1e3	0.527922	
2025-03-24	bb5232160d	0.533298	
2025-03-27	ed8e803c3a	0.531733	
2025-03-30	220788b8e0	0.531691	v3.2.2
2025-04-01	29be0d2560	0.520978	
2025-04-01	ceaa4932b2	0.532365	
2025-04-01	ab8d897a0c	0.526635	
2025-04-01	59753dd20a	0.523350	
2025-04-01	f3a0009b3f	0.524887	
2025-04-01	121c6a7303	0.529429	
2025-04-09	374eeaf65a	0.533666	
2025-04-24	301b0524d9	0.528854	
2025-04-24	1a7ecdc1b7	0.524839	
2025-04-24	5e9d511445	0.534081	v3.2.3
2025-04-28	1b02e31fd7	0.530172	
2025-04-28	1f6a90241a	0.522393	
2025-04-28	010f7c45ae	0.526627	v3.2.4
2025-04-30	0e1847f551	0.525352	
2025-05-02	5d747d6deb	0.520516	
2025-05-02	75a503efaa	0.525267	
2025-05-02	7b74257b9d	0.523637	
2025-05-02	e402eaad5f	0.524434	
2025-05-02	13495307da	0.521015	
2025-06-01	8417fc9f94	0.526365	
2025-06-01	0a47a66143	0.524414	
2025-06-01	5da44f1c34	0.520251	
2025-06-01	bba18f3ef2	0.523558	
2025-06-02	667c3cd123	0.521890	
2025-06-14	dfed89ba98	0.520308	
2025-06-26	bd805214b8	0.522360	
2025-06-26	392d4b725c	0.528061	
2025-06-29	523e9e2e18	0.519961	
2025-06-29	b22b043c0c	0.524103	
2025-06-30	f706c786ea	0.530528	
2025-06-30	a85298d986	0.535314	
2025-06-30	a3b57b2ce2	0.530107	v3.2.5
2025-07-01	49dbc82378	0.530549	
2025-07-01	bac671b0b1	0.531423	
2025-07-04	dbd9e11694	0.535428	
2025-07-06	8fd0024ba8	0.529276	
2025-07-06	77ff26a4c6	0.531633	
2025-07-06	ec6a44ba1a	0.531207	
2025-07-07	4ab1626bed	0.529803	
2025-07-10	f28141edf0	0.525822	
2025-07-10	dd38444665	0.529703	
2025-07-16	aa8e404381	0.524803	
2025-07-16	99569f85db	0.525916	v3.2.6
2025-07-21	47fcfe5c18	0.526461	
2025-07-21	7e0535cbc5	0.528330	
2025-07-23	5be04e1ec9	0.520631	
2025-07-27	3b5947c2eb	0.526357	
2025-07-27	0efc30ced9	0.521972	v3.2.7
2025-08-01	84a43228a0	0.526545	
2025-08-01	2e51999e0a	0.520415	
2025-09-19	c577b16188	0.525749	
2025-09-20	9bad04418e	0.524372	
2025-09-20	87750601de	0.526587	
2025-09-22	0d63acb4e7	0.533571	
2025-09-22	ad370454db	0.529462	v3.2.8
2025-09-22	6b4612162c	0.528996	v3.2.9
2025-09-23	eebd82b851	0.532794	
2025-09-23	9741419e8f	0.532418	
2025-09-23	9c0370e26b	0.530014	v3.3.0
2025-09-23	5c5caffb5a	0.532871	
2025-09-24	de30092871	0.533582	
2025-10-03	a048064781	0.537219	
2025-10-03	619b457a1b	0.529381	
2025-10-03	bc89fc05d1	0.533567	
2025-10-03	9ab0b7b29d	0.532860	
2025-10-03	8db91be8b7	0.528469	
2025-10-03	dc59286ab4	0.537520	
2025-10-03	f3ad8a179e	0.533663	
2025-10-10	651e6af78d	0.534218	
2025-10-13	413c53b2f7	0.529229	
2025-11-01	b3659e9a12	0.533430	
2025-11-01	58b4170853	0.529841	
2025-11-01	028f87338a	0.533828	
2025-11-01	4bd2b7e13a	0.536778	
2025-11-01	e8d7f6eab0	0.532330	
2025-11-07	34a939323a	0.533109	
2025-11-15	c38f67ab81	0.538719	
2025-11-17	2c8cfc851b	0.539342	
2025-12-01	5e3a0d95c0	0.536476	
2025-12-01	ca682483a1	0.542814	
2025-12-01	040579111c	0.536088	
2025-12-01	f782fa7a59	0.544930	
2025-12-03	4f1908eda9	0.532209	
2025-12-08	31b1f282c6	0.528344	
2025-12-09	662de99d89	0.532847	
2025-12-09	236e5194d8	0.522431	
2025-12-10	52be58de96	0.521934	
2025-12-10	8139b3f636	0.518727	
2025-12-10	bc71ba709d	0.522342	
2025-12-11	efbd82e3b5	0.536495	
2025-12-11	c6e4d9026f	0.535076	
2025-12-24	99fb0e6070	0.534230	
2025-12-26	92cead193c	0.533847	
2025-12-26	dfefbea5e3	0.538511	
2025-12-29	33f12b085e	0.534966	
2025-12-29	4ae54d5f75	0.533492	
2025-12-29	c08da51f08	0.532394	
2025-12-30	13622af537	0.533919	
2026-01-01	7336b39e50	0.538025	
2026-01-01	5ef8ff69f6	0.536147	
2026-01-01	f0156ad13f	0.538107	
2026-01-01	13510b0702	0.538033	
2026-01-01	d2bfe3f722	0.534463	
2026-01-01	0f3600a5bb	0.536565	
2026-01-03	de8968554e	0.537179	
2026-01-06	9e5ef9b1bd	0.535507	
2026-01-06	9cf662764a	0.537088	
2026-01-08	e93a961fde	0.519778	
2026-01-08	b80c05bafe	0.516927	
2026-01-08	c30382ee3f	0.527362	v3.4.0
2026-01-08	c4e2353088	0.521910	
2026-01-08	81e33700c4	0.520535	v3.4.1
2026-01-12	d044d7552d	0.528102	
2026-01-18	8d7763b2e1	0.523024	
2026-01-20	b3afb91a34	0.522732	
2026-01-23	899e14e1a0	0.527706	
2026-01-30	9f6c6d3902	0.527261	
2026-01-30	05ed81ca44	0.527229	v3.4.2
2026-02-01	875b57032f	0.523900	
2026-02-01	a8c19b77a3	0.527620	
2026-02-01	d26d230981	0.532481	
2026-02-01	4538c4e261	0.524528	
2026-02-01	5440790dae	0.528211	
2026-02-01	085009d488	0.528473	
2026-02-02	44540857ee	0.523880	
2026-02-03	9881ddacba	0.527993	
2026-02-06	4decd01b34	0.524114	
2026-02-06	77b8e562bd	0.531738	
2026-02-22	94cdbf39e4	0.526049	
2026-02-23	d50d534e13	0.523229	
2026-02-23	3c84d730f6	0.523339	v3.4.3
2026-03-01	fd0cc88a61	0.527371	
2026-03-01	2208d3ffb4	0.526993	
2026-03-01	dbb18b16b2	0.527776	
2026-03-08	774a1b176b	0.531171	
2026-03-18	82a0a53ccd	0.538813	
2026-03-18	305c388816	0.547734	
2026-03-21	d82df393b6	0.538527	
2026-03-22	3e20f41a5b	0.542556	
2026-03-23	06cd26f9e6	0.543969	
2026-03-23	8d50724a7d	0.539889	v3.4.4
2026-03-24	14ef611f20	0.543221	
2026-03-25	935ae57ea0	0.547923	
2026-03-25	31c11c44f6	0.543912	
2026-03-25	3b9bacbdae	0.543113	
2026-03-28	5737046670	0.537935	
2026-03-29	a3cbb2c4c0	0.543495	
2026-03-29	377952b226	0.547379	
2026-03-30	b3a7ce416b	0.547615	
2026-03-31	ed4fa6cb5f	0.544386	
2026-04-01	b80fb89d08	0.545470	
2026-04-01	5866c3f07f	0.544139	
2026-04-01	1435354538	0.544186	
2026-04-01	212a91c62c	0.543872	
2026-04-01	08f2f9ed7e	0.538420	
2026-04-01	5bb6647100	0.548540	
2026-04-05	95895d6c40	0.539054	
2026-04-10	67b42452eb	0.536799	
2026-04-10	aaa40550c4	0.540875	
2026-04-29	405b37d19f	0.545370	
2026-05-01	4bee4f3703	0.545490	
2026-05-01	fa2e0114ff	0.544118	
2026-05-01	21d84eec80	0.548926	
2026-05-01	da8d58535c	0.545604	
2026-05-01	9c51b43737	0.546154	
2026-05-01	de25505c92	0.544522	
2026-05-05	e56e460531	0.539246	
2026-05-11	c9adf5e76c	0.534836	
2026-05-11	d53b806141	0.533867	
2026-05-12	de1bb257fb	0.529434	
2026-05-19	893025824f	0.529058	
2026-05-21	39d44d9d31	0.541248	
2026-05-21	9c6a907083	0.540578	
2026-05-25	b05c7cca3a	0.540567	
2026-05-25	d421a79d4b	0.540222	
2026-05-25	c13160b1aa	0.536330	
2026-05-25	9463d20a68	0.523388	
2026-05-26	215d6144af	0.529368	
2026-06-02	45e5beb76a	0.534730	
2026-06-02	a99a433977	0.533880	
2026-06-02	8dc00b048c	0.530390	
2026-06-03	791fb5c0a5	0.534085	
2026-06-29	9d6ccacd61	0.529949	
2026-07-01	dd9edb8fe7	0.538532	
2026-07-01	650007111f	0.538256	
2026-07-01	0fb1399d24	0.534440	
2026-07-01	9491ac7c78	0.538317	
2026-07-01	1245a1e088	0.529460	
2026-07-01	4b65676b78	0.534729	
