tc	idx	sha	date	bench	mbs	cb	ib	subject
clangpaper	028	f25d5f9fc244	2026-03-30T19:51:00-04:00	parsing_twitter	4797.56	0.72	2.6	4.6.0 (#2655)
clangpaper	028	f25d5f9fc244	2026-03-30T19:51:00-04:00	parsing_citm	2289.4	1.51	6.14	4.6.0 (#2655)
clangpaper	029	769364abb269	2026-03-30T20:01:35-04:00	serialization_twitter	4617.43	0.75	3.44	simplifying the logic
clangpaper	029	769364abb269	2026-03-30T20:01:35-04:00	serialization_citm	2840.0	1.22	6.05	simplifying the logic
clangpaper	029	769364abb269	2026-03-30T20:01:35-04:00	parsing_twitter	4803.85	0.72	2.6	simplifying the logic
clangpaper	029	769364abb269	2026-03-30T20:01:35-04:00	parsing_citm	2285.84	1.51	6.14	simplifying the logic
clangpaper	030	542cd7af7118	2026-04-03T15:25:03-04:00	serialization_twitter	4601.97	0.75	3.44	parser.load(string_view) does not respect view length when opening files (#2659)
clangpaper	030	542cd7af7118	2026-04-03T15:25:03-04:00	serialization_citm	2801.71	1.24	6.05	parser.load(string_view) does not respect view length when opening files (#2659)
clangpaper	030	542cd7af7118	2026-04-03T15:25:03-04:00	parsing_twitter	4763.63	0.72	2.6	parser.load(string_view) does not respect view length when opening files (#2659)
clangpaper	030	542cd7af7118	2026-04-03T15:25:03-04:00	parsing_citm	2285.33	1.51	6.14	parser.load(string_view) does not respect view length when opening files (#2659)
clangpaper	031	fb83b114efce	2026-04-03T15:26:12-04:00	serialization_twitter	4625.55	0.75	3.44	4.6.1
clangpaper	031	fb83b114efce	2026-04-03T15:26:12-04:00	serialization_citm	2826.92	1.22	6.05	4.6.1
clangpaper	031	fb83b114efce	2026-04-03T15:26:12-04:00	parsing_twitter	4789.92	0.72	2.6	4.6.1
clangpaper	031	fb83b114efce	2026-04-03T15:26:12-04:00	parsing_citm	2290.31	1.51	6.14	4.6.1
clangpaper	032	73e69a5e8463	2026-04-03T15:32:42-04:00	serialization_twitter	4833.38	0.72	3.27	Get reflection working without warnings under GCC 16 (#2658)
clangpaper	032	73e69a5e8463	2026-04-03T15:32:42-04:00	serialization_citm	3140.79	1.1	5.37	Get reflection working without warnings under GCC 16 (#2658)
clangpaper	032	73e69a5e8463	2026-04-03T15:32:42-04:00	parsing_twitter	4758.77	0.72	2.6	Get reflection working without warnings under GCC 16 (#2658)
clangpaper	032	73e69a5e8463	2026-04-03T15:32:42-04:00	parsing_citm	2279.62	1.51	6.14	Get reflection working without warnings under GCC 16 (#2658)
clangpaper	033	bc48e720702d	2026-04-09T14:07:29-04:00	serialization_twitter	4848.01	0.72	3.27	literals should be guarded (#2669)
clangpaper	033	bc48e720702d	2026-04-09T14:07:29-04:00	serialization_citm	3142.71	1.09	5.37	literals should be guarded (#2669)
clangpaper	033	bc48e720702d	2026-04-09T14:07:29-04:00	parsing_twitter	4841.08	0.72	2.6	literals should be guarded (#2669)
clangpaper	033	bc48e720702d	2026-04-09T14:07:29-04:00	parsing_citm	2305.15	1.51	6.14	literals should be guarded (#2669)
clangpaper	034	85cadf4074b7	2026-04-09T14:07:44-04:00	serialization_twitter	4803.82	0.72	3.27	adding a C++17 padded_input for convenience. (#2667)
clangpaper	034	85cadf4074b7	2026-04-09T14:07:44-04:00	serialization_citm	3126.73	1.1	5.37	adding a C++17 padded_input for convenience. (#2667)
clangpaper	034	85cadf4074b7	2026-04-09T14:07:44-04:00	parsing_twitter	4762.37	0.72	2.6	adding a C++17 padded_input for convenience. (#2667)
clangpaper	034	85cadf4074b7	2026-04-09T14:07:44-04:00	parsing_citm	2284.99	1.51	6.14	adding a C++17 padded_input for convenience. (#2667)
clangpaper	035	1a57afec1fe7	2026-04-10T20:19:46-04:00	serialization_twitter	4791.23	0.72	3.27	Various guards (#2673)
clangpaper	035	1a57afec1fe7	2026-04-10T20:19:46-04:00	serialization_citm	3166.69	1.09	5.37	Various guards (#2673)
clangpaper	035	1a57afec1fe7	2026-04-10T20:19:46-04:00	parsing_twitter	4764.64	0.72	2.6	Various guards (#2673)
