date	sha	tag	metric	value	subject
2024-08-07	41fd034a19f7		base64_encode	31.624	guard against nullptr arithmetic (#484)
2024-08-07	41fd034a19f7		base64_decode	38.275	guard against nullptr arithmetic (#484)
2024-08-07	2f0c5e23ccf8		validate_utf8	20.248	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		validate_ascii	82.706	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		validate_utf16le	60.712	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		utf8_to_utf16le	6.828	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		utf16le_to_utf8	12.478	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		base64_encode	31.899	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	2f0c5e23ccf8		base64_decode	38.307	fix ubuntu 24.04 sanitizer clang workflow (#485)
2024-08-07	594a86e169a6		validate_utf8	20.301	fix issue 483 (#486)
2024-08-07	594a86e169a6		validate_ascii	82.677	fix issue 483 (#486)
2024-08-07	594a86e169a6		validate_utf16le	60.965	fix issue 483 (#486)
2024-08-07	594a86e169a6		utf8_to_utf16le	6.823	fix issue 483 (#486)
2024-08-07	594a86e169a6		utf16le_to_utf8	12.391	fix issue 483 (#486)
2024-08-07	594a86e169a6		base64_encode	31.889	fix issue 483 (#486)
2024-08-07	594a86e169a6		base64_decode	38.291	fix issue 483 (#486)
2024-08-08	db512a1c2796	v5.3.3	validate_utf8	20.301	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	validate_ascii	82.731	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	validate_utf16le	60.880	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	utf8_to_utf16le	6.818	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	utf16le_to_utf8	12.475	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	base64_encode	31.815	preparing version 5.3.3 (#487)
2024-08-08	db512a1c2796	v5.3.3	base64_decode	38.188	preparing version 5.3.3 (#487)
2024-08-08	d08c56b35c64		validate_utf8	20.299	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		validate_ascii	82.662	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		validate_utf16le	61.004	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		utf8_to_utf16le	6.810	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		utf16le_to_utf8	12.408	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		base64_encode	31.988	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-08	d08c56b35c64		base64_decode	37.973	add length check for arm where UB sanitizer finds nullptr arithmetic (#488)
2024-08-09	0a9dcbd35264		validate_utf8	20.238	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		validate_ascii	82.726	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		validate_utf16le	60.979	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		utf8_to_utf16le	6.805	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		utf16le_to_utf8	12.402	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		base64_encode	31.837	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	0a9dcbd35264		base64_decode	38.243	fix: correct utf8 to latin1 riscv code (#489)
2024-08-09	c634334a9faa		validate_utf8	20.242	[no-ci] Update README.md
2024-08-09	c634334a9faa		validate_ascii	82.692	[no-ci] Update README.md
2024-08-09	c634334a9faa		validate_utf16le	60.861	[no-ci] Update README.md
2024-08-09	c634334a9faa		utf8_to_utf16le	6.820	[no-ci] Update README.md
2024-08-09	c634334a9faa		utf16le_to_utf8	12.408	[no-ci] Update README.md
2024-08-09	c634334a9faa		base64_encode	31.828	[no-ci] Update README.md
2024-08-09	c634334a9faa		base64_decode	38.290	[no-ci] Update README.md
2024-08-09	161c1fdab8da	v5.3.4	validate_utf8	20.198	[no-ci] version 5.3.4 (bump) s Please enter the commit message for your changes. Lines starting
2024-08-09	161c1fdab8da	v5.3.4	validate_ascii	82.689	[no-ci] version 5.3.4 (bump) s Please enter the commit message for your changes. Lines starting
2024-08-09	161c1fdab8da	v5.3.4	validate_utf16le	60.514	[no-ci] version 5.3.4 (bump) s Please enter the commit message for your changes. Lines starting
2024-08-09	161c1fdab8da	v5.3.4	utf8_to_utf16le	6.827	[no-ci] version 5.3.4 (bump) s Please enter the commit message for your changes. Lines starting
